Date,Inflation_YoY,Oil_Price_USD_Barrel,Exchange_Rate_PKR_USD,Interest_Rate,Money_Supply_M2_Billion
Jul-2025,4.1,64.01,282.9446617,11,41207.67951
Jun-2025,3.2,65.33,283.7285909,11.66,41785.62623
May-2025,3.5,59.91,282.0137814,12.24,39464.80716
Apr-2025,0.3,62.01,280.9965148,12.77,38757.42795
Mar-2025,0.7,67.07,280.1931203,12.39,38716.70135
Feb-2025,1.5,70.1,279.6620787,12.41,37321.38561
Jan-2025,2.4,73.15,278.8403143,12.74,36905.22739
Dec-2024,4.1,68.1,278.4431021,13.94,37018.62871
Nov-2024,4.9,68.24,277.9293265,14.82,36911.56995
Oct-2024,7.2,70.45,277.7931336,15.34,36771.43449
Sep-2024,6.9,68.75,277.6517547,18.34,36741.32109
Aug-2024,9.6,75,278.5361699,19.04,36314.55864
Jul-2024,11.1,79.11,278.5913419,19.31385907,36038.25655
Jun-2024,12.6,77.38,278.3327423,20.16154323,36492.05554
May-2024,11.8,78.21,278.4000018,20.77541269,34842.96418
Apr-2024,17.3,83.21,278.3341368,21.04612237,34129.82138
Mar-2024,20.7,79.04,277.9879676,20.74912792,33749.50575
Feb-2024,23.1,75.02,278.9565241,20.46,32997.32538
Jan-2024,28.3,72.3,279.3289847,20.97,32466.43759
Dec-2023,29.7,71.01,281.7521263,21,32593.93099
Nov-2023,29.2,77.46,280.8483079,21.10971669,31999.69083
Oct-2023,26.8,84.65,280.8483079,19.87,31722.36655
Sep-2023,31.4,87.96,287.8848553,20.17,31429.98828
Aug-2023,27.4,79.78,304.8469135,21.07,31208.77418
Jul-2023,28.3,74.07,286.3289932,21.46,30958.66778
Jun-2023,29.4,68.59,286.1379334,20.36,31275.36686
May-2023,38,70.14,285.2310229,20.17255938,29858.75477
Apr-2023,36.4,77.23,283.5665526,20.15,29433.28189
Mar-2023,35.4,72.09,283.5837614,17.98,28732.3951
Feb-2023,31.5,74.32,260.5617398,17.84,27877.50745
Jan-2023,27.6,75.71,267.9035954,17.09,27292.46568
Dec-2022,24.5,76.45,226.2999973,16.42,27335.2108
Nov-2022,23.8,84.43,223.6862237,15.78,27386.92451
Oct-2022,26.6,86.61,221.1900022,15.98,27295.51679
Sep-2022,23.2,84.62,228.3798505,15.22,27261.36837
Aug-2022,27.3,93.76,218.9621196,15.22,26893.80505
Jul-2022,24.9,100.84,239.9232246,15.01,26799.83981
Jun-2022,21.3,113.77,204.624514,13.63,26798.39537
May-2022,13.8,108.29,198.8466892,12.91,25633.67481
Apr-2022,13.37790337,103.34,185.4599407,11.87,25155.23257
Mar-2022,12.7,107.07,182.9156759,10.59,24726.56517
Feb-2022,12.24404221,89.41,177.0538244,10.34,24176.07038
Jan-2022,12.96243597,80.33,176.5536723,10.78,24210.80122
Dec-2021,12.28169814,70.56,176.5225066,9.669,24719.27074
Nov-2021,11.5,76.45,175.7469244,8.698,23932.94448
Oct-2021,9.2,78.51,171.6443529,8.236,23646.40983
Sep-2021,8.979178716,69.09,170.2997275,7.909529203,23904.15209
Aug-2021,8.353519783,65.68,165.8374793,7.58343797,23523.01199
Jul-2021,8.405968385,70.12,161.6292226,8.13,23565.26264
Jun-2021,9.655669291,68.58,157.3316551,8.194088474,23722.36643
May-2021,10.86176628,62.8,154.17823,8.12,22475.74969
Apr-2021,11.1,59.87,153.4683855,8.018434005,22212.66124
Mar-2021,9.1,60.43,152.5320317,7.696861604,21985.338
Feb-2021,8.7,56.44,158.0527896,7.671923811,21682.94599
Jan-2021,5.7,49.47,160,7.837876889,21429.4806
Dec-2020,7.98,43.92,159.7699313,8.097568508,21604.28249
Nov-2020,8.35,38.25,159.1849729,8.092228239,21063.27804
Oct-2020,8.91,36.39,160.2564103,8.019631802,20811.42132
Sep-2020,9.03,36.82,165.645188,7.843972974,20743.36006
Aug-2020,8.21,39.37,166.3893511,7.508474971,20518.91429
Jul-2020,9.3,37.44,166.9170422,8.228989024,20530.20177
Jun-2020,8.59,33.81,167.8133915,9.604043493,20659.88532
May-2020,8.23,18.02,162.2849724,10.23715292,19854.19552
Apr-2020,8.52,15.18,160.8492842,11.24093303,19286.81553
Mar-2020,10.24,31.01,165.9200265,12.69297907,19064.23146
Feb-2020,12.4,49.66,154.1307028,13.0955927,18413.61573
Jan-2020,14.56,56.55,154.3924656,13.75980265,18191.70453
Dec-2019,12.63,58.41,154.7987616,13.84111783,18349.49434
Nov-2019,12.67,54.96,155.2072016,13.84446731,17778.92797
Oct-2019,11.04,53.14,155.6178027,13.6717359,17720.63914
Sep-2019,11.38,55.14,156.1767921,13.51398671,17585.87816
Aug-2019,10.49,53.63,156.8627451,13.09499452,17430.03635
Jul-2019,8.38,56.47,159.6169194,13.25640839,17391.7318
Jun-2019,8.04,54.34,162.022035,12.43066906,17459.54863
May-2019,8.42,59.73,147.7541371,11.60068876,16801.40307
Apr-2019,8.27,63,141.2628902,11.17629638,16482.61212
Mar-2019,8.64,57.46,140.3705783,10.66627206,16523.64338
Feb-2019,6.75,52.6,138.9274799,10.51234455,16321.33767
Jan-2019,5.55,48,138.3125864,10.66,16201.9335
Dec-2018,5.37,47.63,138.6577926,9.727755076,16352.71875
Nov-2018,5.66,55.65,138.121547,9.13,16066.64883
Oct-2018,6.5,65.18,132.2751323,8.81,15833.04866
Sep-2018,5.42,63.54,124.1156758,8.116806834,15791.35633
Aug-2018,6.17,62.64,124.0079365,7.94035909,15792.08627
Jul-2018,6.66,67,123.4263145,7.721630621,15606.76347
Jun-2018,5.67,62.8,121.2856277,7.44635493,15763.26836
May-2018,4.98,66.16,115.446779,7.155061248,15431.48286
Apr-2018,3.96,63.5,115.4601085,7.218133333,15148.61798
Mar-2018,3.59,60.68,115.1675688,6.996710627,15099.89265
Feb-2018,4.46,61.18,110.4484206,7.012586569,14792.52211
Jan-2018,5.24,62.25,110.4240283,7.105379478,14606.13439
Dec-2017,5.61,56.98,110.3022281,7.044225672,14737.60464
Nov-2017,5.03,55.19,105.3962901,7.068242875,14507.57855
Oct-2017,4.83,49.12,104.7339757,7.0074035,14427.17048
Sep-2017,4.66,47.17,105.3296819,6.916848988,14339.76799
Aug-2017,4.39,44.96,105.2631579,6.86353426,14306.36211
Jul-2017,3.86,43.42,105.3185887,7.03,14170.40734
Jun-2017,6.54,42.17,104.7888505,7.06736679,14394.70836
May-2017,6.36,45.19,104.7559187,6.934655473,13822.467
Apr-2017,6.91,47.23,104.7120419,6.897013979,13483.24336
Mar-2017,6.14,46.39,104.7449461,6.929514083,13339.3705
Feb-2017,5.04,49.41,104.7449461,6.954795592,13136.66106
Jan-2017,4.53,48.19,104.7449461,7.087075526,13085.13376
Dec-2016,4.08,47.12,104.6901173,7.001966187,13292.21032
Nov-2016,4.69,41.65,104.7339757,6.84,12918.52156
Oct-2016,4.19,45,104.7120419,6.961761492,12775.02151
Sep-2016,3.23,40.55,104.6025105,6.90362184,12688.1841
Aug-2016,2.8,40.46,104.7120419,6.815492183,12493.91545
Jul-2016,3.17,40.71,104.7339757,6.952479394,12485.71085
Jun-2016,3.2,43.96,104.6462955,7.15,12638.92616
