Inflation_YoY,Oil_Price_USD_Barrel,Exchange_Rate_PKR_USD,Interest_Rate,Money_Supply_M2_Billion,Date_x,date_numeric,year_month,Date_y,pkr_to_oneDollar,Gold_Price_In_Dolars,Petrol_Price,Year,Month,lag_1,lag_2,lag_3,rolling_mean_3,diff_1,Minimum_Wage_PKR
4.69,41.65,104.7339757,6.84,12918.52156,2016-11-01,1477958400000000,2016-11,2016-11-01,104.73,122.8000030517578,82.1,2016,11,104.505,104.605,104.7,104.61333333333334,0.2250000000000085,14000
4.08,47.12,104.6901173,7.001966187,13292.21032,2016-12-01,1480550400000000,2016-12,2016-12-01,104.8,111.11000061035156,83.25,2016,12,104.73,104.505,104.605,104.67833333333331,0.0699999999999931,14000
4.53,48.19,104.7449461,7.087075526,13085.13376,2017-01-01,1483228800000000,2017-01,2017-01-01,104.795,109.62000274658205,85.23,2017,1,104.8,104.73,104.505,104.775,-0.0049999999999954,15000
5.04,49.41,104.7449461,6.954795592,13136.66106,2017-02-01,1485907200000000,2017-02,2017-02-01,104.75,114.66000366210938,87.92,2017,2,104.795,104.8,104.73,104.78166666666664,-0.0450000000000017,15000
6.14,46.39,104.7449461,6.929514083,13339.3705,2017-03-01,1488326400000000,2017-03,2017-03-01,104.785,117.9800033569336,89.1,2017,3,104.75,104.795,104.8,104.77666666666666,0.0349999999999965,15000
6.91,47.23,104.7120419,6.897013979,13483.24336,2017-04-01,1491004800000000,2017-04,2017-04-01,104.81,118.69000244140624,88.41,2017,4,104.785,104.75,104.795,104.78166666666664,0.0250000000000056,15000
6.36,45.19,104.7559187,6.934655473,13822.467,2017-05-01,1493596800000000,2017-05,2017-05-01,104.7,120.20999908447266,86.4,2017,5,104.81,104.785,104.75,104.765,-0.1099999999999994,15000
6.54,42.17,104.7888505,7.06736679,14394.70836,2017-06-01,1496275200000000,2017-06,2017-06-01,104.755,120.16999816894533,84.53,2017,6,104.7,104.81,104.785,104.755,0.0549999999999926,15000
3.86,43.42,105.3185887,7.03,14170.40734,2017-07-01,1498867200000000,2017-07,2017-07-01,104.86,116.54000091552734,83.25,2017,7,104.755,104.7,104.81,104.77166666666666,0.1050000000000039,15000
4.39,44.96,105.2631579,6.86353426,14306.36211,2017-08-01,1501545600000000,2017-08,2017-08-01,105.335,120.44000244140624,82.1,2017,8,104.86,104.755,104.7,104.98333333333332,0.4749999999999943,15000
