Inflation_YoY,Oil_Price_USD_Barrel,Exchange_Rate_PKR_USD,Interest_Rate,Money_Supply_M2_Billion,Date,date_numeric
4.69,41.65,104.7339757,6.84,12918.52156,2016-11-01,1477958400000000
4.08,47.12,104.6901173,7.001966187,13292.21032,2016-12-01,1480550400000000
4.53,48.19,104.7449461,7.087075526,13085.13376,2017-01-01,1483228800000000
5.04,49.41,104.7449461,6.954795592,13136.66106,2017-02-01,1485907200000000
6.14,46.39,104.7449461,6.929514083,13339.3705,2017-03-01,1488326400000000
6.91,47.23,104.7120419,6.897013979,13483.24336,2017-04-01,1491004800000000
6.36,45.19,104.7559187,6.934655473,13822.467,2017-05-01,1493596800000000
6.54,42.17,104.7888505,7.06736679,14394.70836,2017-06-01,1496275200000000
3.86,43.42,105.3185887,7.03,14170.40734,2017-07-01,1498867200000000
4.39,44.96,105.2631579,6.86353426,14306.36211,2017-08-01,1501545600000000
4.66,47.17,105.3296819,6.916848988,14339.76799,2017-09-01,1504224000000000
4.83,49.12,104.7339757,7.0074035,14427.17048,2017-10-01,1506816000000000
5.03,55.19,105.3962901,7.068242875,14507.57855,2017-11-01,1509494400000000
5.61,56.98,110.3022281,7.044225672,14737.60464,2017-12-01,1512086400000000
5.24,62.25,110.4240283,7.105379478,14606.13439,2018-01-01,1514764800000000
4.46,61.18,110.4484206,7.012586569,14792.52211,2018-02-01,1517443200000000
3.59,60.68,115.1675688,6.996710627,15099.89265,2018-03-01,1519862400000000
3.96,63.5,115.4601085,7.218133333,15148.61798,2018-04-01,1522540800000000
4.98,66.16,115.446779,7.155061248,15431.48286,2018-05-01,1525132800000000
5.67,62.8,121.2856277,7.44635493,15763.26836,2018-06-01,1527811200000000
6.66,67.0,123.4263145,7.721630621,15606.76347,2018-07-01,1530403200000000
6.17,62.64,124.0079365,7.94035909,15792.08627,2018-08-01,1533081600000000
5.42,63.54,124.1156758,8.116806834,15791.35633,2018-09-01,1535760000000000
6.5,65.18,132.2751323,8.81,15833.04866,2018-10-01,1538352000000000
5.66,55.65,138.121547,9.13,16066.64883,2018-11-01,1541030400000000
5.37,47.63,138.6577926,9.727755076,16352.71875,2018-12-01,1543622400000000
5.55,48.0,138.3125864,10.66,16201.9335,2019-01-01,1546300800000000
6.75,52.6,138.9274799,10.51234455,16321.33767,2019-02-01,1548979200000000
8.64,57.46,140.3705783,10.66627206,16523.64338,2019-03-01,1551398400000000
8.27,63.0,141.2628902,11.17629638,16482.61212,2019-04-01,1554076800000000
8.42,59.73,147.7541371,11.60068876,16801.40307,2019-05-01,1556668800000000
8.04,54.34,162.022035,12.43066906,17459.54863,2019-06-01,1559347200000000
8.38,56.47,159.6169194,13.25640839,17391.7318,2019-07-01,1561939200000000
10.49,53.63,156.8627451,13.09499452,17430.03635,2019-08-01,1564617600000000
11.38,55.14,156.1767921,13.51398671,17585.87816,2019-09-01,1567296000000000
11.04,53.14,155.6178027,13.6717359,17720.63914,2019-10-01,1569888000000000
12.67,54.96,155.2072016,13.84446731,17778.92797,2019-11-01,1572566400000000
12.63,58.41,154.7987616,13.84111783,18349.49434,2019-12-01,1575158400000000
14.56,56.55,154.3924656,13.75980265,18191.70453,2020-01-01,1577836800000000
12.4,49.66,154.1307028,13.0955927,18413.61573,2020-02-01,1580515200000000
10.24,31.01,165.9200265,12.69297907,19064.23146,2020-03-01,1583020800000000
8.52,15.18,160.8492842,11.24093303,19286.81553,2020-04-01,1585699200000000
8.23,18.02,162.2849724,10.23715292,19854.19552,2020-05-01,1588291200000000
8.59,33.81,167.8133915,9.604043493,20659.88532,2020-06-01,1590969600000000
9.3,37.44,166.9170422,8.228989024,20530.20177,2020-07-01,1593561600000000
8.21,39.37,166.3893511,7.508474971,20518.91429,2020-08-01,1596240000000000
