Date,pkr_to_oneDollar,Gold_Price_In_Dolars,Petrol_Price,Year,Month,lag_1,lag_2,lag_3,rolling_mean_3,diff_1
2016-10-01,104.505,125.31999969482422,81.33,2016,10,104.605,104.7,104.75,104.60333333333334,-0.10000000000000853
2016-11-01,104.73,122.8000030517578,82.1,2016,11,104.505,104.605,104.7,104.61333333333334,0.22500000000000853
2016-12-01,104.8,111.11000061035156,83.25,2016,12,104.73,104.505,104.605,104.67833333333333,0.06999999999999318
2017-01-01,104.795,109.62000274658205,85.23,2017,1,104.8,104.73,104.505,104.77499999999999,-0.0049999999999954525
2017-02-01,104.75,114.66000366210938,87.92,2017,2,104.795,104.8,104.73,104.78166666666665,-0.045000000000001705
2017-03-01,104.785,117.9800033569336,89.1,2017,3,104.75,104.795,104.8,104.77666666666666,0.03499999999999659
2017-04-01,104.81,118.69000244140624,88.41,2017,4,104.785,104.75,104.795,104.78166666666665,0.025000000000005684
2017-05-01,104.7,120.20999908447266,86.4,2017,5,104.81,104.785,104.75,104.76499999999999,-0.10999999999999943
2017-06-01,104.755,120.16999816894533,84.53,2017,6,104.7,104.81,104.785,104.755,0.05499999999999261
2017-07-01,104.86,116.54000091552734,83.25,2017,7,104.755,104.7,104.81,104.77166666666666,0.10500000000000398
2017-08-01,105.335,120.44000244140624,82.1,2017,8,104.86,104.755,104.7,104.98333333333333,0.4749999999999943
2017-09-01,105.1,126.01000213623048,84.53,2017,9,105.335,104.86,104.755,105.09833333333331,-0.23499999999999943
2017-10-01,105.3,121.16999816894533,87.8,2017,10,105.1,105.335,104.86,105.24499999999999,0.20000000000000284
2017-11-01,105.2,120.9800033569336,89.1,2017,11,105.3,105.1,105.335,105.2,-0.09999999999999432
2017-12-01,105.375,120.94000244140624,90.35,2017,12,105.2,105.3,105.1,105.29166666666667,0.17499999999999716
2018-01-01,110.7,124.66000366210938,92.0,2018,1,105.375,105.2,105.3,107.09166666666665,5.325000000000003
2018-02-01,110.755,127.18000030517578,94.25,2018,2,110.7,105.375,105.2,108.94333333333333,0.05499999999999261
2018-03-01,110.76,124.1500015258789,96.0,2018,3,110.755,110.7,105.375,110.73833333333334,0.005000000000009663
2018-04-01,115.725,126.6500015258789,97.8,2018,4,110.76,110.755,110.7,112.41333333333334,4.964999999999989
2018-05-01,115.77,123.9000015258789,99.99,2018,5,115.725,110.76,110.755,114.085,0.045000000000001705
2018-06-01,115.785,122.58000183105467,101.79,2018,6,115.77,115.725,110.76,115.75999999999999,0.015000000000000568
2018-07-01,121.715,118.18000030517578,103.27,2018,7,115.785,115.77,115.725,117.75666666666666,5.930000000000007
